income,employement_status,age,education_level,state,risk
100341,Permenant Full Time,28,DNF High School Education,New South Wales,2.0
100341,Permenant Full Time,28,DNF High School Education,New South Wales,2.0
100341,Permenant Full Time,28,DNF High School Education,New South Wales,2.0
100341,Permenant Full Time,28,DNF High School Education,New South Wales,2.0
100341,Permenant Full Time,28,DNF High School Education,New South Wales,2.0
100341,Permenant Full Time,28,DNF High School Education,New South Wales,2.0
100341,Permenant Full Time,28,DNF High School Education,New South Wales,2.0
100341,Permenant Full Time,28,DNF High School Education,New South Wales,2.0
100341,Permenant Full Time,28,DNF High School Education,New South Wales,2.0
100341,Permenant Full Time,28,DNF High School Education,New South Wales,2.0
100341,Permenant Full Time,28,DNF High School Education,New South Wales,2.0
100341,Permenant Full Time,28,DNF High School Education,New South Wales,2.0
100341,Permenant Full Time,28,DNF High School Education,New South Wales,2.0
100341,Permenant Full Time,28,DNF High School Education,New South Wales,2.0
100341,Permenant Full Time,28,DNF High School Education,New South Wales,2.0
100341,Permenant Full Time,28,DNF High School Education,New South Wales,2.0
100341,Permenant Full Time,28,DNF High School Education,New South Wales,2.0
100341,Permenant Full Time,28,DNF High School Education,New South Wales,2.0
100341,Permenant Full Time,28,DNF High School Education,New South Wales,2.0
100341,Permenant Full Time,28,DNF High School Education,New South Wales,2.0
100341,Permenant Full Time,28,DNF High School Education,Queensland,2.0
100341,Permenant Full Time,28,DNF High School Education,Queensland,2.0
100341,Permenant Full Time,28,DNF High School Education,Queensland,2.0
100341,Permenant Full Time,28,DNF High School Education,Queensland,2.0
100341,Permenant Full Time,28,DNF High School Education,Queensland,2.0
100341,Permenant Full Time,28,DNF High School Education,Queensland,2.0
100341,Permenant Full Time,28,DNF High School Education,Queensland,2.0
100341,Permenant Full Time,28,DNF High School Education,Queensland,2.0
100341,Permenant Full Time,28,DNF High School Education,Queensland,2.0
100341,Permenant Full Time,28,DNF High School Education,Queensland,2.0
100341,Permenant Full Time,28,DNF High School Education,Queensland,2.0
100341,Permenant Full Time,28,DNF High School Education,Queensland,2.0
100341,Permenant Full Time,28,DNF High School Education,Queensland,2.0
100341,Permenant Full Time,28,DNF High School Education,Queensland,2.0
100341,Permenant Full Time,28,DNF High School Education,Queensland,2.0
100341,Permenant Full Time,28,DNF High School Education,Queensland,2.0
100341,Permenant Full Time,28,DNF High School Education,Queensland,2.0
100341,Permenant Full Time,28,DNF High School Education,Queensland,2.0
100341,Permenant Full Time,28,DNF High School Education,Queensland,2.0
100341,Permenant Full Time,28,DNF High School Education,Queensland,2.0
100341,Permenant Full Time,28,DNF High School Education,Australian Capital Territory,2.0
100341,Permenant Full Time,28,DNF High School Education,Australian Capital Territory,2.0
100341,Permenant Full Time,28,DNF High School Education,Australian Capital Territory,2.0
100341,Permenant Full Time,28,DNF High School Education,Australian Capital Territory,2.0
