income,employement_status,age,education_level,city,risk
67235,Unemployment,15,DNF High School Education,Tamworth,1.75
14171,Unemployment,22,DNF High School Education,Bathurst,2.0
103706,Permenant Full Time,53,DNF High School Education,Wagga Wagga,1.0
184610,Permenant Full Time,58,DNF High School Education,Wagga Wagga,1.0
88896,Unemployment,21,Degree+,Sydney,1.75
132686,Casual/Part time,74,Degree+,Tamworth,1.0
52720,Permenant Full Time,57,High School/Diploma,Sydney,1.25
70661,Unemployment,68,High School/Diploma,Sydney,1.25
52858,Unemployment,52,High School/Diploma,Bathurst,1.25
30606,Permenant Full Time,50,DNF High School Education,Bathurst,1.5
111397,Unemployment,75,High School/Diploma,Dubbo,1.0
150675,Permenant Full Time,28,Degree+,Bathurst,1.5
63323,Casual/Part time,52,Degree+,Albury,1.25
161718,Unemployment,22,High School/Diploma,Coffs Harbour,1.5
186490,Casual/Part time,17,High School/Diploma,Wagga Wagga,1.5
144062,Casual/Part time,72,Degree+,Coffs Harbour,1.0
7201,Unemployment,73,DNF High School Education,Coffs Harbour,1.5
35087,Casual/Part time,66,DNF High School Education,Bathurst,1.5
120810,Casual/Part time,18,High School/Diploma,Sydney,1.5
8312,Unemployment,28,DNF High School Education,Sydney,2.0
138726,Unemployment,44,Degree+,Albury,1.0
76559,Casual/Part time,42,DNF High School Education,Wagga Wagga,1.5
8961,Permenant Full Time,69,High School/Diploma,Sydney,1.5
114425,Permenant Full Time,85,High School/Diploma,Tamworth,1.0
159210,Permenant Full Time,84,High School/Diploma,Dubbo,1.0
76309,Casual/Part time,50,Degree+,Sydney,1.25
80615,Permenant Full Time,84,High School/Diploma,Sydney,1.25
137287,Unemployment,45,Degree+,Albury,1.0
98714,Permenant Full Time,18,DNF High School Education,Tamworth,1.75
135230,Unemployment,49,High School/Diploma,Albury,1.0
78438,Permenant Full Time,57,DNF High School Education,Tamworth,1.25
87296,Casual/Part time,32,High School/Diploma,Wagga Wagga,1.5
163969,Casual/Part time,78,DNF High School Education,Albury,1.0
154893,Permenant Full Time,85,DNF High School Education,Dubbo,1.0
77696,Casual/Part time,17,High School/Diploma,Wagga Wagga,1.75
89406,Permenant Full Time,81,High School/Diploma,Coffs Harbour,1.25
111208,Unemployment,50,Degree+,Tamworth,1.0
174873,Unemployment,63,Degree+,Wagga Wagga,1.0
98504,Permenant Full Time,35,Degree+,Albury,1.5
120726,Casual/Part time,25,High School/Diploma,Tamworth,1.5
109132,Casual/Part time,44,High School/Diploma,Dubbo,1.0
115669,Unemployment,33,Degree+,Tamworth,1.25
176288,Unemployment,35,High School/Diploma,Albury,1.25
117431,Permenant Full Time,67,DNF High School Education,Wagga Wagga,1.0
169243,Casual/Part time,56,Degree+,Bathurst,1.0
168005,Unemployment,23,High School/Diploma,Sydney,1.5
154635,Permenant Full Time,36,DNF High School Education,Wagga Wagga,1.25
110561,Unemployment,41,Degree+,Tamworth,1.25
62685,Permenant Full Time,31,DNF High School Education,Coffs Harbour,1.5
136155,Casual/Part time,70,High School/Diploma,Dubbo,1.0
87550,Permenant Full Time,22,DNF High School Education,Sydney,1.75
129684,Permenant Full Time,60,Degree+,Albury,1.0
38868,Casual/Part time,65,Degree+,Bathurst,1.5
129736,Casual/Part time,37,DNF High School Education,Sydney,1.25
27410,Permenant Full Time,19,High School/Diploma,Dubbo,2.0
191689,Permenant Full Time,77,DNF High School Education,Wagga Wagga,1.0
65050,Permenant Full Time,77,DNF High School Education,Wagga Wagga,1.25
46479,Unemployment,23,Degree+,Bathurst,2.0
134115,Unemployment,21,Degree+,Sydney,1.5
128051,Casual/Part time,84,DNF High School Education,Bathurst,1.0
111149,Permenant Full Time,77,DNF High School Education,Albury,1.0
82730,Unemployment,38,Degree+,Tamworth,1.5
113262,Casual/Part time,75,Degree+,Sydney,1.0
29543,Casual/Part time,42,High School/Diploma,Coffs Harbour,1.75
131605,Permenant Full Time,72,Degree+,Albury,1.0
179863,Casual/Part time,47,DNF High School Education,Wagga Wagga,1.0
128673,Permenant Full Time,35,Degree+,Dubbo,1.25
