income,employement_status,age,education_level,postcode,risk
126477,Unemployment,46,DNF High School Education,2026,1.0
126477,Unemployment,46,DNF High School Education,2026,1.0
126477,Unemployment,46,DNF High School Education,2026,1.0
126477,Unemployment,46,DNF High School Education,2026,1.0
126477,Unemployment,46,DNF High School Education,2026,1.0
126477,Unemployment,46,DNF High School Education,2026,1.0
126477,Unemployment,46,DNF High School Education,2026,1.0
126477,Unemployment,46,DNF High School Education,2026,1.0
126477,Unemployment,46,DNF High School Education,2026,1.0
126477,Unemployment,46,DNF High School Education,2026,1.0
126477,Unemployment,46,DNF High School Education,2026,1.0
126477,Unemployment,46,DNF High School Education,2026,1.0
126477,Unemployment,46,DNF High School Education,2026,1.0
126477,Unemployment,46,DNF High School Education,2026,1.0
126477,Unemployment,46,DNF High School Education,2026,1.0
126477,Unemployment,46,DNF High School Education,2026,1.0
126477,Unemployment,46,DNF High School Education,2026,1.0
126477,Unemployment,46,DNF High School Education,2026,1.0
126477,Unemployment,46,DNF High School Education,2026,1.0
126477,Unemployment,46,DNF High School Education,2026,1.0
126477,Unemployment,46,DNF High School Education,2022,1.0
126477,Unemployment,46,DNF High School Education,2022,1.0
126477,Unemployment,46,DNF High School Education,2022,1.0
126477,Unemployment,46,DNF High School Education,2022,1.0
126477,Unemployment,46,DNF High School Education,2022,1.0
126477,Unemployment,46,DNF High School Education,2022,1.0
126477,Unemployment,46,DNF High School Education,2022,1.0
126477,Unemployment,46,DNF High School Education,2022,1.0
126477,Unemployment,46,DNF High School Education,2022,1.0
126477,Unemployment,46,DNF High School Education,2022,1.0
126477,Unemployment,46,DNF High School Education,2022,1.0
126477,Unemployment,46,DNF High School Education,2022,1.0
126477,Unemployment,46,DNF High School Education,2022,1.0
126477,Unemployment,46,DNF High School Education,2022,1.0
126477,Unemployment,46,DNF High School Education,2022,1.0
126477,Unemployment,46,DNF High School Education,2022,1.0
126477,Unemployment,46,DNF High School Education,2022,1.0
126477,Unemployment,46,DNF High School Education,2022,1.0
126477,Unemployment,46,DNF High School Education,2022,1.0
126477,Unemployment,46,DNF High School Education,2022,1.0
126477,Unemployment,46,DNF High School Education,2034,1.0
126477,Unemployment,46,DNF High School Education,2034,1.0
126477,Unemployment,46,DNF High School Education,2034,1.0
126477,Unemployment,46,DNF High School Education,2034,1.0
126477,Unemployment,46,DNF High School Education,2034,1.0
126477,Unemployment,46,DNF High School Education,2034,1.0
126477,Unemployment,46,DNF High School Education,2034,1.0
126477,Unemployment,46,DNF High School Education,2034,1.0
126477,Unemployment,46,DNF High School Education,2034,1.0
126477,Unemployment,46,DNF High School Education,2034,1.0
126477,Unemployment,46,DNF High School Education,2034,1.0
126477,Unemployment,46,DNF High School Education,2034,1.0
126477,Unemployment,46,DNF High School Education,2034,1.0
126477,Unemployment,46,DNF High School Education,2034,1.0
126477,Unemployment,46,DNF High School Education,2034,1.0
126477,Unemployment,46,DNF High School Education,2034,1.0
126477,Unemployment,46,DNF High School Education,2034,1.0
126477,Unemployment,46,DNF High School Education,2034,1.0
126477,Unemployment,46,DNF High School Education,2034,1.0
126477,Unemployment,46,DNF High School Education,2034,1.0
126477,Unemployment,46,DNF High School Education,2024,1.0
126477,Unemployment,46,DNF High School Education,2024,1.0
126477,Unemployment,46,DNF High School Education,2024,1.0
126477,Unemployment,46,DNF High School Education,2024,1.0
126477,Unemployment,46,DNF High School Education,2024,1.0
126477,Unemployment,46,DNF High School Education,2024,1.0
126477,Unemployment,46,DNF High School Education,2024,1.0
126477,Unemployment,46,DNF High School Education,2024,1.0
126477,Unemployment,46,DNF High School Education,2024,1.0
126477,Unemployment,46,DNF High School Education,2024,1.0
126477,Unemployment,46,DNF High School Education,2024,1.0
126477,Unemployment,46,DNF High School Education,2024,1.0
126477,Unemployment,46,DNF High School Education,2024,1.0
126477,Unemployment,46,DNF High School Education,2024,1.0
126477,Unemployment,46,DNF High School Education,2024,1.0
126477,Unemployment,46,DNF High School Education,2024,1.0
126477,Unemployment,46,DNF High School Education,2024,1.0
126477,Unemployment,46,DNF High School Education,2024,1.0
126477,Unemployment,46,DNF High School Education,2024,1.0
126477,Unemployment,46,DNF High School Education,2024,1.0
126477,Unemployment,46,DNF High School Education,2089,1.0
126477,Unemployment,46,DNF High School Education,2089,1.0
126477,Unemployment,46,DNF High School Education,2089,1.0
126477,Unemployment,46,DNF High School Education,2089,1.0
126477,Unemployment,46,DNF High School Education,2089,1.0
126477,Unemployment,46,DNF High School Education,2089,1.0
126477,Unemployment,46,DNF High School Education,2089,1.0
126477,Unemployment,46,DNF High School Education,2089,1.0
126477,Unemployment,46,DNF High School Education,2089,1.0
126477,Unemployment,46,DNF High School Education,2089,1.0
126477,Unemployment,46,DNF High School Education,2089,1.0
126477,Unemployment,46,DNF High School Education,2089,1.0
126477,Unemployment,46,DNF High School Education,2089,1.0
126477,Unemployment,46,DNF High School Education,2089,1.0
